__run_id,__done,algorithm,language,runtime,id,energy_usage,execution_time,memory_usage,cpu_usage,storage
run_3,DONE,binarytrees,javascript,wasmer,3,9099.08,4767780,11.179,101.198,1007394
run_29,DONE,spectral-norm,javascript,wasmer,9,9414.478,4929590,6.497,101.116,1009163
run_33,DONE,spectral-norm,javascript,wasmtime,3,11976.562,6270980,6.098,100.742,1009163
run_14,DONE,binarytrees,javascript,wasmtime,4,11084.983,5805830,11.38,100.816,1007394
run_8,DONE,binarytrees,javascript,wasmer,8,9081.389,4752940,7.085,99.994,1007394
run_27,DONE,spectral-norm,javascript,wasmer,7,9398.52,4915840,1.9,99.885,1009163
run_12,DONE,binarytrees,javascript,wasmtime,2,11063.505,5789470,6.585,99.924,1007394
run_34,DONE,spectral-norm,javascript,wasmtime,4,11962.181,6259600,1.4,99.9,1009163
run_4,DONE,binarytrees,javascript,wasmer,4,9085.259,4753620,7.085,99.861,1007394
run_38,DONE,spectral-norm,javascript,wasmtime,8,11968.231,6261770,1.4,99.936,1009163
run_39,DONE,spectral-norm,javascript,wasmtime,9,11973.927,6264020,1.4,99.83,1009163
run_57,DONE,nbody,javascript,wasmtime,7,12525.561,6557960,6.098,100.703,1027038
run_35,DONE,spectral-norm,javascript,wasmtime,5,11979.328,6266660,1.4,99.87,1009163
run_31,DONE,spectral-norm,javascript,wasmtime,1,11965.379,6260550,1.4,99.98,1009163
run_7,DONE,binarytrees,javascript,wasmer,7,9089.163,4756610,7.085,99.883,1007394
run_18,DONE,binarytrees,javascript,wasmtime,8,11071.938,5793220,6.585,99.962,1007394
run_40,DONE,nbody,javascript,wasmer,0,9592.519,5022380,5.797,100.956,1027038
run_32,DONE,spectral-norm,javascript,wasmtime,2,11915.233,6238120,1.4,99.936,1009163
run_20,DONE,spectral-norm,javascript,wasmer,0,9273.594,4863290,1.9,99.82,1009163
run_10,DONE,binarytrees,javascript,wasmtime,0,10895.991,5715100,6.585,99.906,1007394
run_37,DONE,spectral-norm,javascript,wasmtime,7,11788.794,6182980,1.4,99.903,1009163
run_6,DONE,binarytrees,javascript,wasmer,6,8953.066,4697880,7.085,99.958,1007394
run_59,DONE,nbody,javascript,wasmtime,9,12345.169,6474630,1.4,99.938,1027038
run_13,DONE,binarytrees,javascript,wasmtime,3,10885.331,5711750,6.585,99.905,1007394
run_48,DONE,nbody,javascript,wasmer,8,9424.252,4940430,1.8,99.843,1027038
run_30,DONE,spectral-norm,javascript,wasmtime,0,11849.631,6215440,1.4,99.869,1009163
run_21,DONE,spectral-norm,javascript,wasmer,1,9271.017,4863060,1.9,99.813,1009163
run_17,DONE,binarytrees,javascript,wasmtime,7,10884.46,5709660,6.585,99.854,1007394
run_24,DONE,spectral-norm,javascript,wasmer,4,9269.056,4861660,1.9,99.846,1009163
run_49,DONE,nbody,javascript,wasmer,9,9433.36,4946570,1.8,99.847,1027038
run_41,DONE,nbody,javascript,wasmer,1,9428.15,4943370,1.8,99.976,1027038
run_54,DONE,nbody,javascript,wasmtime,4,12358.656,6480420,1.3,99.958,1027038
run_53,DONE,nbody,javascript,wasmtime,3,12346.535,6474570,1.3,99.86,1027038
run_5,DONE,binarytrees,javascript,wasmer,5,8952.629,4697630,7.085,99.921,1007394
run_45,DONE,nbody,javascript,wasmer,5,9433.023,4947830,1.8,99.937,1027038
run_25,DONE,spectral-norm,javascript,wasmer,5,9275.542,4863800,1.9,99.925,1009163
run_9,DONE,binarytrees,javascript,wasmer,9,8950.643,4695050,7.084,99.913,1007394
run_19,DONE,binarytrees,javascript,wasmtime,9,10877.446,5707100,6.585,99.922,1007394
run_0,DONE,binarytrees,javascript,wasmer,0,8965.301,4703480,7.085,99.907,1007394
run_58,DONE,nbody,javascript,wasmtime,8,12353.76,6478070,1.3,99.912,1027038
run_28,DONE,spectral-norm,javascript,wasmer,8,9274.979,4861610,1.9,99.843,1009163
run_23,DONE,spectral-norm,javascript,wasmer,3,9277.604,4862910,1.9,99.933,1009163
run_44,DONE,nbody,javascript,wasmer,4,9421.686,4943850,1.8,99.905,1027038
run_42,DONE,nbody,javascript,wasmer,2,9437.212,4949560,1.8,99.939,1027038
run_2,DONE,binarytrees,javascript,wasmer,2,8946.164,4693580,7.085,99.905,1007394
run_52,DONE,nbody,javascript,wasmtime,2,12340.777,6473410,1.3,99.828,1027038
run_26,DONE,spectral-norm,javascript,wasmer,6,9274.625,4863530,1.9,99.81,1009163
run_36,DONE,spectral-norm,javascript,wasmtime,6,11801.498,6187980,1.4,99.849,1009163
run_11,DONE,binarytrees,javascript,wasmtime,1,10892.64,5715990,6.585,99.889,1007394
run_56,DONE,nbody,javascript,wasmtime,6,12355.862,6477780,1.3,99.854,1027038
run_46,DONE,nbody,javascript,wasmer,6,9431.468,4946880,1.8,99.857,1027038
run_22,DONE,spectral-norm,javascript,wasmer,2,9261.068,4858700,1.9,99.904,1009163
run_51,DONE,nbody,javascript,wasmtime,1,12356.901,6480840,1.3,99.875,1027038
run_47,DONE,nbody,javascript,wasmer,7,9427.785,4945310,1.8,99.971,1027038
run_16,TODO,binarytrees,javascript,wasmtime,6, , , , , 
run_43,TODO,nbody,javascript,wasmer,3, , , , , 
run_15,TODO,binarytrees,javascript,wasmtime,5, , , , , 
run_55,TODO,nbody,javascript,wasmtime,5, , , , , 
run_50,TODO,nbody,javascript,wasmtime,0, , , , , 
run_1,TODO,binarytrees,javascript,wasmer,1, , , , , 
