Date,CPU Utilization,Total Power,CPU Power,GPU Power
2022-10-30 08:20:06,0.99500,4.53819,4.53819,0.00000
2022-10-30 08:20:07,1.00250,4.56427,4.56427,0.00000
2022-10-30 08:20:08,0.75000,3.68623,3.68623,0.00000
2022-10-30 08:20:09,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:10,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:11,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:12,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:20:13,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:14,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:15,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:20:16,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:17,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:18,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:19,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:20,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:21,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:22,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:23,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:24,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:25,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:26,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:27,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:28,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:29,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:20:30,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:31,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:20:32,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:33,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:34,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:35,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:36,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:20:37,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:38,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:39,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:40,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:20:41,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:42,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:20:43,0.26515,2.00023,2.00023,0.00000
2022-10-30 08:20:44,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:45,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:46,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:47,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:48,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:49,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:50,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:51,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:20:52,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:53,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:20:54,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:20:55,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:56,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:57,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:58,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:20:59,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:00,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:01,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:02,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:21:03,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:04,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:05,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:06,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:07,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:08,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:09,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:10,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:11,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:12,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:13,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:14,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:15,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:21:16,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:17,0.25500,1.96493,1.96493,0.00000
2022-10-30 08:21:18,0.25377,1.96065,1.96065,0.00000
2022-10-30 08:21:19,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:20,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:21,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:22,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:21:23,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:24,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:25,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:26,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:27,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:21:28,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:29,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:30,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:31,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:32,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:33,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:34,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:35,0.26131,1.98686,1.98686,0.00000
2022-10-30 08:21:36,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:37,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:38,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:21:39,0.25758,1.97389,1.97389,0.00000
2022-10-30 08:21:40,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:21:41,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:42,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:43,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:21:44,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:45,0.25628,1.96939,1.96939,0.00000
2022-10-30 08:21:46,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:47,0.26010,1.98267,1.98267,0.00000
2022-10-30 08:21:48,0.25750,1.97363,1.97363,0.00000
2022-10-30 08:21:49,0.26000,1.98232,1.98232,0.00000
2022-10-30 08:21:50,0.25879,1.97813,1.97813,0.00000
2022-10-30 08:21:51,0.25879,1.97813,1.97813,0.00000
