Date,CPU Utilization,CPU Power
2022-10-29 09:38:40,0.25253,1.92492
2022-10-29 09:38:41,0.25,1.92641
2022-10-29 09:38:42,0.25,1.92641
2022-10-29 09:38:43,0.25126,1.92051
2022-10-29 09:38:44,0.25126,1.92051
2022-10-29 09:38:45,0.25505,1.94417
2022-10-29 09:38:46,0.25,1.91614
2022-10-29 09:38:47,0.25126,1.91045
2022-10-29 09:38:48,0.25126,1.93077
2022-10-29 09:38:49,0.25,1.91614
2022-10-29 09:38:50,0.25126,1.92051
2022-10-29 09:38:51,0.2525,1.92514
2022-10-29 09:38:52,0.25126,1.92051
2022-10-29 09:38:53,0.25,1.90608
2022-10-29 09:38:54,0.25253,1.93519
2022-10-29 09:38:55,0.25126,1.91045
2022-10-29 09:38:56,0.25126,1.92051
2022-10-29 09:38:57,0.25126,1.92051
2022-10-29 09:38:58,0.25253,1.92492
2022-10-29 09:38:59,0.25,1.91614
2022-10-29 09:39:00,0.25126,1.93077
2022-10-29 09:39:01,0.25,1.90608
2022-10-29 09:39:02,0.25126,1.92051
2022-10-29 09:39:03,0.25126,1.92051
2022-10-29 09:39:04,0.25126,1.92051
2022-10-29 09:39:05,0.25253,1.92492
2022-10-29 09:39:06,0.25,1.91614
2022-10-29 09:39:07,0.25253,1.92492
2022-10-29 09:39:08,0.25126,1.92051
2022-10-29 09:39:09,0.25,1.91614
2022-10-29 09:39:10,0.25126,1.92051
2022-10-29 09:39:11,0.25,1.90608
2022-10-29 09:39:12,0.25126,1.91045
2022-10-29 09:39:13,0.25126,1.93077
2022-10-29 09:39:14,0.25126,1.92051
2022-10-29 09:39:15,0.25253,1.93519
2022-10-29 09:39:16,0.25126,1.92051
2022-10-29 09:39:17,0.25,1.91614
2022-10-29 09:39:18,0.25253,1.93519
2022-10-29 09:39:19,0.2525,1.95624
2022-10-29 09:39:20,0.25126,1.93077
2022-10-29 09:39:21,0.25,1.90608
2022-10-29 09:39:22,0.25253,1.92492
2022-10-29 09:39:23,0.25,1.91614
2022-10-29 09:39:24,0.25126,1.92051
2022-10-29 09:39:25,0.25126,1.92051
2022-10-29 09:39:26,0.25126,1.92051
2022-10-29 09:39:27,0.25,1.91614
2022-10-29 09:39:28,0.25126,1.92051
2022-10-29 09:39:29,0.25253,1.93519
2022-10-29 09:39:30,0.25253,1.93519
2022-10-29 09:39:31,0.25,1.90608
2022-10-29 09:39:32,0.25253,1.93519
2022-10-29 09:39:33,0.2525,1.92514
2022-10-29 09:39:34,0.25,1.90608
2022-10-29 09:39:35,0.25,1.90608
2022-10-29 09:39:36,0.25126,1.92051
2022-10-29 09:39:37,0.25253,1.92492
2022-10-29 09:39:38,0.25,1.91614
2022-10-29 09:39:39,0.25126,1.92051
2022-10-29 09:39:40,0.25,1.90608
2022-10-29 09:39:41,0.25505,1.95454
2022-10-29 09:39:42,0.25126,1.93077
2022-10-29 09:39:43,0.25,1.90608
2022-10-29 09:39:44,0.25253,1.93519
2022-10-29 09:39:45,0.25126,1.92051
2022-10-29 09:39:46,0.25,1.90608
2022-10-29 09:39:47,0.25377,1.93972
2022-10-29 09:39:48,0.25126,1.92051
2022-10-29 09:39:49,0.25126,1.92051
2022-10-29 09:39:50,0.25,1.91614
2022-10-29 09:39:51,0.25253,1.92492
2022-10-29 09:39:52,0.25,1.91614
2022-10-29 09:39:53,0.25126,1.92051
2022-10-29 09:39:54,0.25126,1.92051
2022-10-29 09:39:55,0.25,1.90608
2022-10-29 09:39:56,0.25,1.93687
2022-10-29 09:39:57,0.25253,1.93519
2022-10-29 09:39:58,0.25,1.91614
2022-10-29 09:39:59,0.25126,1.92051
2022-10-29 09:40:00,0.25126,1.92051
2022-10-29 09:40:01,0.25126,1.86289
2022-10-29 09:40:02,0.25,1.90608
2022-10-29 09:40:03,0.25253,1.93519
2022-10-29 09:40:04,0.25,1.91614
2022-10-29 09:40:05,0.25,1.91614
2022-10-29 09:40:06,0.25126,1.91045
2022-10-29 09:40:07,0.25253,1.93519
2022-10-29 09:40:08,0.25,1.91614
2022-10-29 09:40:09,0.25126,1.92051
2022-10-29 09:40:10,0.25253,1.92492
2022-10-29 09:40:11,0.25126,1.93077
2022-10-29 09:40:12,0.25,1.90608
2022-10-29 09:40:13,0.25126,1.91045
2022-10-29 09:40:14,0.25253,1.93519
2022-10-29 09:40:15,0.25126,1.92051
2022-10-29 09:40:16,0.25253,1.92492
2022-10-29 09:40:17,0.25253,1.93519
2022-10-29 09:40:18,0.25,1.91614
2022-10-29 09:40:19,0.25,1.90608
2022-10-29 09:40:20,0.25253,1.93519
2022-10-29 09:40:21,0.25,1.8962
2022-10-29 09:40:22,0.25,1.91614
2022-10-29 09:40:23,0.25253,1.93519
2022-10-29 09:40:24,0.2475,1.89698
2022-10-29 09:40:25,0.25126,1.91045
2022-10-29 09:40:26,0.25126,1.92051
2022-10-29 09:40:27,0.25,1.90608
2022-10-29 09:40:28,0.25253,1.93519
2022-10-29 09:40:29,0.25377,1.92955
2022-10-29 09:40:30,0.25,1.91614
2022-10-29 09:40:31,0.25253,1.92492
2022-10-29 09:40:32,0.25126,1.91045
2022-10-29 09:40:33,0.25126,1.94124
2022-10-29 09:40:34,0.25126,1.94124
2022-10-29 09:40:35,0.25377,1.92955
2022-10-29 09:40:36,0.25,1.90608
2022-10-29 09:40:37,0.25,1.91614
2022-10-29 09:40:38,0.25126,1.91045
2022-10-29 09:40:39,0.25126,1.92051
2022-10-29 09:40:40,0.25,1.91614
2022-10-29 09:40:41,0.25253,1.92492
2022-10-29 09:40:42,0.25253,1.92492
2022-10-29 09:40:43,0.25,1.91614
2022-10-29 09:40:44,0.25126,1.92051
2022-10-29 09:40:45,0.25126,1.93077
2022-10-29 09:40:46,0.25,1.90608
2022-10-29 09:40:47,0.25253,1.91486
2022-10-29 09:40:48,0.25126,1.92051
2022-10-29 09:40:49,0.25253,1.93519
2022-10-29 09:40:50,0.25,1.90608
2022-10-29 09:40:51,0.25377,1.95008
2022-10-29 09:40:52,0.25126,1.92051
2022-10-29 09:40:53,0.2525,1.92514
2022-10-29 09:40:54,0.25126,1.92051
2022-10-29 09:40:55,0.25253,1.93519
2022-10-29 09:40:56,0.25,1.90608
2022-10-29 09:40:57,0.25253,1.93519
2022-10-29 09:40:58,0.25,1.91614
2022-10-29 09:40:59,0.25126,1.91045
2022-10-29 09:41:00,0.25126,1.93077
2022-10-29 09:41:01,0.25,1.90608
2022-10-29 09:41:02,0.25126,1.92051
2022-10-29 09:41:03,0.25126,1.92051
2022-10-29 09:41:04,0.25,1.91614
2022-10-29 09:41:05,0.25126,1.91045
2022-10-29 09:41:06,0.25126,1.92051
2022-10-29 09:41:07,0.25,1.90608
2022-10-29 09:41:08,0.25126,1.92051
2022-10-29 09:41:09,0.25253,1.92492
2022-10-29 09:41:10,0.25,1.92641
2022-10-29 09:41:11,0.25126,1.94124
2022-10-29 09:41:12,0.25253,1.92492
2022-10-29 09:41:13,0.25,1.91614
2022-10-29 09:41:14,0.25,1.91614
2022-10-29 09:41:15,0.25253,1.92492
2022-10-29 09:41:16,0.25,1.91614
2022-10-29 09:41:17,0.25253,1.92492
2022-10-29 09:41:18,0.25,1.90608
2022-10-29 09:41:19,0.25,1.91614
2022-10-29 09:41:20,0.25253,1.92492
2022-10-29 09:41:21,0.25,1.91614
2022-10-29 09:41:22,0.25,1.91614
2022-10-29 09:41:23,0.25253,1.92492
2022-10-29 09:41:24,0.25126,1.92051
2022-10-29 09:41:25,0.25,1.91614
2022-10-29 09:41:26,0.25253,1.92492
2022-10-29 09:41:27,0.25253,1.92492
2022-10-29 09:41:28,0.25,1.91614
2022-10-29 09:41:29,0.25126,1.92051
2022-10-29 09:41:30,0.25253,1.92492
2022-10-29 09:41:31,0.25,1.91614
2022-10-29 09:41:32,0.25126,1.93077
2022-10-29 09:41:33,0.25126,1.92051
2022-10-29 09:41:34,0.25126,1.92051
2022-10-29 09:41:35,0.25126,1.91045
2022-10-29 09:41:36,0.25126,1.92051
2022-10-29 09:41:37,0.25126,1.89088
2022-10-29 09:41:38,0.25253,1.92492
2022-10-29 09:41:39,0.25,1.91614
2022-10-29 09:41:40,0.25253,1.92492
2022-10-29 09:41:41,0.25,1.91614
2022-10-29 09:41:42,0.25,1.90608
2022-10-29 09:41:43,0.25126,1.92051
2022-10-29 09:41:44,0.25126,1.92051
2022-10-29 09:41:45,0.25126,1.93077
2022-10-29 09:41:46,0.25,1.8962
2022-10-29 09:41:47,0.25253,1.93519
2022-10-29 09:41:48,0.25,1.92641
2022-10-29 09:41:49,0.25,1.91614
2022-10-29 09:41:50,0.25126,1.91045
2022-10-29 09:41:51,0.25126,1.93077
2022-10-29 09:41:52,0.25,1.90608
2022-10-29 09:41:53,0.25126,1.92051
2022-10-29 09:41:54,0.25126,1.92051
2022-10-29 09:41:55,0.25,1.90608
2022-10-29 09:41:56,0.25126,1.92051
2022-10-29 09:41:57,0.25126,1.92051
2022-10-29 09:41:58,0.25,1.90608
2022-10-29 09:41:59,0.25253,1.93519
2022-10-29 09:42:00,0.25126,1.92051
2022-10-29 09:42:01,0.25126,1.92051
2022-10-29 09:42:02,0.25,1.91614
2022-10-29 09:42:03,0.25253,1.92492
2022-10-29 09:42:04,0.25126,1.92051
2022-10-29 09:42:05,0.25126,1.92051
2022-10-29 09:42:06,0.25253,1.92492
2022-10-29 09:42:07,0.25773,1.93296
2022-10-29 09:42:08,0.25253,1.92492
2022-10-29 09:42:09,0.25,1.91614
2022-10-29 09:42:10,0.25126,1.92051
2022-10-29 09:42:11,0.25253,1.92492
2022-10-29 09:42:12,0.25126,1.92051
2022-10-29 09:42:13,0.2525,1.92514
2022-10-29 09:42:14,0.25126,1.91045
2022-10-29 09:42:15,0.25126,1.92051
2022-10-29 09:42:16,0.25126,1.93077
2022-10-29 09:42:17,0.25126,1.92051
2022-10-29 09:42:18,0.25253,1.92492
2022-10-29 09:42:19,0.25,1.91614
2022-10-29 09:42:20,0.25126,1.92051
2022-10-29 09:42:21,0.25126,1.92051
2022-10-29 09:42:22,0.25126,1.91045
2022-10-29 09:42:23,0.25,1.91614
2022-10-29 09:42:24,0.25253,1.93519
2022-10-29 09:42:25,0.25,1.94755
2022-10-29 09:42:26,0.25126,1.92051
2022-10-29 09:42:27,0.25126,1.91045
2022-10-29 09:42:28,0.25,1.91614
2022-10-29 09:42:29,0.25126,1.92051
2022-10-29 09:42:30,0.25126,1.92051
2022-10-29 09:42:31,0.25126,1.92051
2022-10-29 09:42:32,0.25126,1.92051
2022-10-29 09:42:33,0.25126,1.92051
2022-10-29 09:42:34,0.25126,1.92051
2022-10-29 09:42:35,0.25253,1.92492
2022-10-29 09:42:36,0.25,1.91614
2022-10-29 09:42:37,0.25,1.91614
2022-10-29 09:42:38,0.25253,1.92492
